CONSTITUENCY,WINNER,PARTY,STATE,YEAR
FARRUKHABAD,KHURSHED ALAM KHAN,INC,Uttar Pradesh,1984
MAINPURI,BALRAM SINGH YADAV,INC,Uttar Pradesh,1984
JALESAR,KAILASH CHANDRA YADAV,INC,Uttar Pradesh,1984
ETAH,MUHAMMAD MEHFOOJ ALI KHAN ALIAS PYAREY  MAIN,LKD,Uttar Pradesh,1984
FIROZABAD (SC),GANGA RAM,INC,Uttar Pradesh,1984
AGRA,NIHAL SINGH,INC,Uttar Pradesh,1984
MATHURA,MANVENDRA SINGH,INC,Uttar Pradesh,1984
HATHRAS (SC),PURAN CHAND,INC,Uttar Pradesh,1984
ALIGARH,USHA RANI,INC,Uttar Pradesh,1984
KHURJA (SC),VEER SEN,INC,Uttar Pradesh,1984
BULANDSHAHR,KR. SURENDRA PAL,INC,Uttar Pradesh,1984
HAPUR,KEDAR NATH,INC,Uttar Pradesh,1984
MEERUT,MOHSINA KIDWAI,INC,Uttar Pradesh,1984
BAGHPAT,CHARAN SINGH,LKD,Uttar Pradesh,1984
MUZAFFARNAGAR,DHARAM VIR SINGH,INC,Uttar Pradesh,1984
KAIRANA,AKHTAR HASAN,INC,Uttar Pradesh,1984
SAHARANPUR,YASHPAL SINGH,INC,Uttar Pradesh,1984
HARDWAR (SC),SUNDER LAL,INC,Uttar Pradesh,1984
COOCH BEHAR (SC),AMAR ROY PRODHAN,FBL,West Bengal,1984
ALIPURDUARS (ST),PIJUS TIRKEY,RSP,West Bengal,1984
JALPAIGURI,MANIK SANYAL,CPM,West Bengal,1984
DARJEELING,ANANDA PRASAD PATHAK,CPM,West Bengal,1984
RAIGANJ,GOLAM YAZDANI,INC,West Bengal,1984
BALURGHAT (SC),PALAS BARMAN,RSP,West Bengal,1984
MALDA,ABU BARKAT ATAUL GHANI KHAN CHOUDHURY,INC,West Bengal,1984
JANGIPUR,ABEDIN ZAINAL,CPM,West Bengal,1984
MURSHIDABAD,SYED MUSUDAL HOSSAIN,CPM,West Bengal,1984
BERHAMPORE,ATISH CHANDRA SINHA,INC,West Bengal,1984
KRISHNAGAR,RENU PADA DAS,CPM,West Bengal,1984
NABADWIP (SC),BIBHA GHOSH (GOSWAMI),CPM,West Bengal,1984
BARASAT,TARUN KANTI GHOSH,INC,West Bengal,1984
BASIRHAT,INDRAJIT GUPTA,CPI,West Bengal,1984
JOYNAGAR (SC),SANT KUMAR MANDAL,RSP,West Bengal,1984
MATHURAPUR (SC),MANORANJAN HALDER,INC,West Bengal,1984
DIAMOND HARBOUR,AMAL DATTA,CPM,West Bengal,1984
JADAVPUR,MAMATA BANERJEE,INC,West Bengal,1984
BARRACKPORE,DEBI GHOSAL,INC,West Bengal,1984
DUM DUM,ASUTOSH LAW,INC,West Bengal,1984
CALCUTTA NORTH WEST,ASHOK KUMAR SEN,INC,West Bengal,1984
CALCUTTA NORTH EAST,AJIT KUMAR PANJA,INC,West Bengal,1984
CALCUTTA SOUTH,BHOLA NATH SEN,INC,West Bengal,1984
HOWRAH,PRIYA RANJAN DAS MUNSHI,INC,West Bengal,1984
ULUBERIA,HANNAN MOLLAH,CPM,West Bengal,1984
SERAMPORE,BIMAL KANTI GHOSH,INC,West Bengal,1984
HOOGHLY,INDUMATI BHATTACHARYYA,INC,West Bengal,1984
ARAMBAGH,ANIL BASU,CPM,West Bengal,1984
PANSKURA,GEETA MUKHERJEE,CPI,West Bengal,1984
TAMLUK,MISHRA SATYAGOPAL,CPM,West Bengal,1984
CONTAI,PHULRENU GUHA,INC,West Bengal,1984
MIDNAPORE,NARAYAN CHOUBEY,CPI,West Bengal,1984
JHARGRAM (ST),MOTILAL HANSDA,CPM,West Bengal,1984
PURULIA,CHITTARANJAN MAHATA,FBL,West Bengal,1984
BANKURA,ACHARIA BASUDEB,CPM,West Bengal,1984
VISHNUPUR (SC),AJIT KUMAR SAHA,CPM,West Bengal,1984
DURGAPUR (SC),PURNA CHANDRA MALIK,CPM,West Bengal,1984
ASANSOL,ANADA GOPAL MUKHERJEE,INC,West Bengal,1984
BURDWAN,SUDHIR RAY,CPM,West Bengal,1984
KATWA,SAIFUDDIN CHOWDHURY,CPM,West Bengal,1984
BOLPUR,SARADISH ROY,CPM,West Bengal,1984
BIRBHUM (SC),GADAHAR SAHA,CPM,West Bengal,1984
ANDAMAN & NICOBAR ISLANDS,MANORANJAN BHAKTA,INC,Andaman and Nicobar,1984
CHANDIGARH,JAGAN NATH KAUSHAL,INC,Chandigarh,1984
DADRA & NAGAR HAVELI (ST),GAVLI SITARAM JIVYABHAI,IND,Dadra & Nagar Haveli,1984
NEW DELHI,KRSIHAN CHANDRA PANT,INC,Delhi NCR,1984
SOUTH DELHI,LALIT MAKEN,INC,Delhi NCR,1984
OUTER DELHI,BHARAT SINGH,INC,Delhi NCR,1984
EAST DELHI,H.K.L.BHAGAT,INC,Delhi NCR,1984
CHANDNI CHOWK,JAI PARKASH AGARWAL,INC,Delhi NCR,1984
DELHI SADAR,JAGDISH TYTLER,INC,Delhi NCR,1984
KAROL BAGH (SC),SUNDERWATI NAWAL PRABHAKAR,INC,Delhi NCR,1984
LAKSHADWEEP (ST),MOHAMMAD SAYEED PADANNATHA,INC,Lakshadweep,1984
PONDICHERRY,P.SHAMMUGAM,INC,Pondicherry,1984
KARIMGANJ (SC),SUDARSAN DAS,ICS,Assam,1985
SILCHAR,SANTOSH MOHAN DEV,INC,Assam,1985
AUTONOMOUS DISTRICT (ST),BIREN SINGH ENGTI,INC,Assam,1985
DHUBRI,ABDUL HAMID,IND,Assam,1985
KOKRAJHAR (ST),SAMAR BRAHMA CHOUDHURY,PTC,Assam,1985
BARPETA,ATAUR RAHMAN,IND,Assam,1985
GAUHATI,DINESH GOSWAMI,IND,Assam,1985
MANGALDOI,SAIFUDDIN AKMED,IND,Assam,1985
TEZPUR,BIPIN PAL DAS,INC,Assam,1985
NOWGONG,MUHIRAM SAIKIA,IND,Assam,1985
KALIABOR,BHADRESWAR TANTI,IND,Assam,1985
JORHAT,PARAG CHALIHA,IND,Assam,1985
DIBRUGARH,HAREN BHUMJI,INC,Assam,1985
LAKHIMPUR,GAKUL SAIKIA,IND,Assam,1985
GURDASPUR,SUKHBUNS KAUR,INC,Punjab,1985
AMRITSAR,RAGHUNANDAN LAL BHATIA,INC,Punjab,1985
TARN TARAN,TARLOCHAN SINGH TUR,SAD,Punjab,1985
JULLUNDUR,RAJINDER SINGH SPARROW,INC,Punjab,1985
PHILLAUR (SC),SUNDER SINGH,INC,Punjab,1985
HOSHIARPUR,KAMAL CHUDHARY,INC,Punjab,1985
ROPAR (SC),CHARANJIT SINGH,SAD,Punjab,1985
PATIALA,CHARANJIT SINGH,SAD,Punjab,1985
LUDHIANA,MEWA SINGH,SAD,Punjab,1985
SANGRUR,BALWANT SINGH RAMUWALIA,SAD,Punjab,1985
BHATINDA (SC),TEJA SINGH DARDI,SAD,Punjab,1985
FARIDKOT,SHAMINDER SINGH,SAD,Punjab,1985
FEROZEPUR,GURDIAL SINGH DHILLON,INC,Punjab,1985
SRIKAKULAM,VISWANATHAM KANITHI,INC,Andhra Pradesh,1989
PARVATHIPURAM (ST),VIJAYARAMARAJU SATRUCHARLA,INC,Andhra Pradesh,1989
BOBBILI,KOMBURI RAM MOHAN RAO,TDP,Andhra Pradesh,1989
VISAKHAPATNAM,UMA GAJAPATHI RAJU POOSAPATI,INC,Andhra Pradesh,1989
BHADRACHALAM (ST),KARIYEDDULA KAMALA KUMARI,INC,Andhra Pradesh,1989
ANAKAPALLI,KONATHALA RAMAKRISHNA,INC,Andhra Pradesh,1989
KAKINADA,MALLIPUDI MANGAPATHI PALLAMRAJU,INC,Andhra Pradesh,1989
RAJAHMUNDRY,JAMUNA,INC,Andhra Pradesh,1989
AMALAPURAM (SC),KUSUMA KRISHNA MURTY,INC,Andhra Pradesh,1989
NARASAPUR,BHUPATIRAJU VIJAYA KUMAR RAJU,TDP,Andhra Pradesh,1989
ELURU,KRISHANA,INC,Andhra Pradesh,1989
MACHILIPATNAM,SAMBASIVARAO KAVURI,INC,Andhra Pradesh,1989
VIJAYAWADA,CHENNUPATI VIDYA,INC,Andhra Pradesh,1989
TENALI,BASAVAPANNAYYA SINGAM,INC,Andhra Pradesh,1989
GUNTUR,N.G.RANGA,INC,Andhra Pradesh,1989
BAPATLA,SALAGALA BENJAMIN,INC,Andhra Pradesh,1989
NARASARAOPET,KASU VENKATA KRISHNA REDDY,INC,Andhra Pradesh,1989
ONGOLE,RAJAMOHANA REDDY MEKAPATI,INC,Andhra Pradesh,1989
NELLORE (SC),PUTCHALAPALLI PENCHALAIAH,INC,Andhra Pradesh,1989
TIRUPATHI (SC),CHINTA MOHAN,INC,Andhra Pradesh,1989
CHITTOOR,GNANENDRA REDDY,INC,Andhra Pradesh,1989
RAJAMPET,ANNAIAHGARI SAI PRATHAP,INC,Andhra Pradesh,1989
CUDDAPAH,Y.S.RAJASEKHAR REDDY,INC,Andhra Pradesh,1989
HINDUPUR,S.GANGADHARA,INC,Andhra Pradesh,1989
ANANTAPUR,ANANTHA VENKATA REDDY,INC,Andhra Pradesh,1989
KURNOOL,KOTLA VIJAY BHASKARA REDDY,INC,Andhra Pradesh,1989
NANDYAL,BOJJA VENKATA REDDY,INC,Andhra Pradesh,1989
NAGARKURNOOL (SC),ANATHA RAMULU MULLU,INC,Andhra Pradesh,1989
MAHABUBNAGAR,MALLIKARJUN,INC,Andhra Pradesh,1989
HYDERABAD,SULTAN SALAHUDDIN OWAISI,MIM,Andhra Pradesh,1989
SECUNDERABAD,T.MANEMMA,INC,Andhra Pradesh,1989
SIDDIPET (SC),YELLAIAH NANDI,INC,Andhra Pradesh,1989
MEDAK,BAGAREDDY M.,INC,Andhra Pradesh,1989
NIZAMABAD,TADURI BALA GOUD,INC,Andhra Pradesh,1989
ADILABAD,P.NARASA REDDY,INC,Andhra Pradesh,1989
PEDDAPALLI (SC),G.VENKAT SWAMY,INC,Andhra Pradesh,1989
KARIMNAGAR,CHOKKA RAO JUVVADI,INC,Andhra Pradesh,1989
HANAMKONDA,KAMALUDDIN AHMED,INC,Andhra Pradesh,1989
WARANGAL,SURENDER REDDY RAMASAHAYAM,INC,Andhra Pradesh,1989
KHAMMAM,JALAGAM VENGAL RAO,INC,Andhra Pradesh,1989
NALGONDA,CHALILAM SRINIVASA RAO,INC,Andhra Pradesh,1989
MIRYALGUDA,B.N.REDDY,INC,Andhra Pradesh,1989
ARUNACHAL WEST,PREM KHANDU THUNGON,INC,Arunachal Pradesh,1989
ARUNACHAL EAST,LAETA UMBREY,INC,Arunachal Pradesh,1989
BAGAHA (SC),MAHENDRA BAITHA,JD,Bihar,1989
BETTIAH,DHARMESH PRASSAD VERMA,JD,Bihar,1989
MOTIHARI,RADHA MOHAN SINGH,BJP,Bihar,1989
GOPALGANJ,RAJMANGAL MISHRA,JD,Bihar,1989
SIWAN,JANARDAN TIWARI,BJP,Bihar,1989
MAHARAJGANJ,CHANRASBEKHAR,JD,Bihar,1989
CHAPRA,LALOO PRASSAD,JD,Bihar,1989
HAJIPUR (SC),RAM VILAS PASWAN,JD,Bihar,1989
VAISHALI,USHA SINGH,JD,Bihar,1989
MUZAFFARPUR,GEORGE FARNANDES,JD,Bihar,1989
SITAMARHI,HUKUMDEO NARAYAN YADAV,JD,Bihar,1989
SHEOHAR,HARI KISHOR SINGH,JD,Bihar,1989
MADHUBANI,BHOGENDRA JHA,CPI,Bihar,1989
JHANJHARPUR,DEVANDRA PRASSAD YADAV,JD,Bihar,1989
DARBHANGA,SHAKEEUL RAHMAN,JD,Bihar,1989
ROSERA (SC),DASHAI CHAUDHARY,JD,Bihar,1989
SAMASTIPUR,MANJAI LAL,JD,Bihar,1989
BARH,NITISH KUMAR,JD,Bihar,1989
BALIA,SURYANARAYAN SINGH,CPI,Bihar,1989
SAHARSA,SURYA NR. YADAV,JD,Bihar,1989
MADHEPURA,RAMESH KUMAR YADAV RAVI,JD,Bihar,1989
ARARIA (SC),SUKDEO PASWAN,JD,Bihar,1989
KISHANGANJ,M.J.AKBAR,INC,Bihar,1989
PURNEA,TASLIMUDIN,JD,Bihar,1989
KATIHAR,YUVARJ,JD,Bihar,1989
RAJMAHAL (ST),SIMON MARANDI,JMM,Bihar,1989
DUMKA (ST),SHIBU SOHAN,JMM,Bihar,1989
GODDA,JANARDHAN YADAV,BJP,Bihar,1989
BANKA,PRATAP SINGH,JD,Bihar,1989
BHAGALPUR,CHUN CHUN PRASAD YADAV,JD,Bihar,1989
KHAGARIA,RAM SHARAN YADAV,JD,Bihar,1989
MONGHYR,DHANRAJ SINGH,JD,Bihar,1989
BEGUSARAI,LALIT VIJAY SINGH,JD,Bihar,1989
NALANDA,RAM SAROOP PRASAD,INC,Bihar,1989
PATNA,SHAILENDRA NATH SRIVASTAVA,BJP,Bihar,1989
ARRAH,RAMESHWAR PRASAD,IPF,Bihar,1989
BUXAR,TEJ NARAIN SINGH,CPI,Bihar,1989
SASARAM (SC),CHHEDI PASWAN,JD,Bihar,1989
BIKRAMGANJ,RAM PARSAD SINGH,JD,Bihar,1989
AURANGABAD,RAM NARESH SINGH,JD,Bihar,1989
JAHANABAD,RAMASHRAY PRASAD SINGH,CPI,Bihar,1989
NAWADA (SC),PREM PARDEEP,CPM,Bihar,1989
GAYA (SC),INSWAR CHAUDHARY,JD,Bihar,1989
CHATRA,UPENDER NATH VERMA,JD,Bihar,1989
KODARMA,RITLAL PRASAD VERMA,BJP,Bihar,1989
GIRIDIH,RAM DAS SINGH,BJP,Bihar,1989
DHANBAD,A.K.ROY,M-COR,Bihar,1989
HAZARIBAGH,YADUNATH PANDEY,BJP,Bihar,1989
RANCHI,SUBODH KANT SAHAY,JD,Bihar,1989
JAMSHEDPUR,SHAILENDRA MAHTO,JMM,Bihar,1989
SINGHBHUM (ST),BAGUA SAMBURI,INC,Bihar,1989
KHUNTI (ST),KARIA MUNDA,BJP,Bihar,1989
LOHARDAGA (ST),SUMATI ORAON,INC,Bihar,1989
PALAMAU (SC),JAORWAR RAM,JD,Bihar,1989
PANAJI,GOPAL MAYOKAR,MAG,Goa,1989
MORMUGAO,FALEIRO EDURADO MARTHINHO,INC,Goa,1989
KUTCH,BABU BHAI MEGHJI SHAH,BJP,Gujarat,1989
SURENDRANAGAR,KOLI PATEL SOMABHAI GANDABHI,BJP,Gujarat,1989
JAMNAGAR,KORADIYA CHANDRESH KUMAR VALJIBHAI (CHANDRESH PATEL),BJP,Gujarat,1989
RAJKOT,VEKARIA SHIVLAL NAGIBHAI,BJP,Gujarat,1989
PORBANDAR,MANVAR BALVANTBHAI BACHUBHAI,JD,Gujarat,1989
JUNAGADH,SHEKHADA GOVINDHHAL KANJIBHAI,JD,Gujarat,1989
AMRELI,MANUBHAI KOTADIYA,JD,Gujarat,1989
BHAVNAGAR,JAMOD SHASHIKANT MAVJIBHAI,INC,Gujarat,1989
DHANDHUKA (SC),RATILAL KALIDAS VERMA,BJP,Gujarat,1989
AHMEDABAD,HARIN PATHAK,BJP,Gujarat,1989
GANDHINAGAR,VEGHELA SHANKARJI LAXMANJI,BJP,Gujarat,1989
MEHSANA,A.K.PATEL,BJP,Gujarat,1989
PATAN (SC),CHAWADA KHEM CHANDBHAI SOMABHAI,JD,Gujarat,1989
BANASKANTHA,SHAH JAYANTILAL VIRCHANDBHAI,JD,Gujarat,1989
SABARKANTHA,MAGANBHAI MANIBHAI PATEL,JD,Gujarat,1989
KAPADVANJ,GABHAJI MANGAJI THAKOR,BJP,Gujarat,1989
DOHAD (ST),SOMAIBAHI DAMOR,INC,Gujarat,1989
GODHRA,PATEL SHANTILA PURUSHOTTAMDAS,JD,Gujarat,1989
KAIRA,CHAUHAN PRABHATSINH HATHISINH,JD,Gujarat,1989
ANAND,PATEL NATHUBHAI MANIBHAI,BJP,Gujarat,1989
CHHOTA UDAIPUR (ST),RAHAWA NARANBHAI JAMALBHAI,JD,Gujarat,1989
BARODA,KOKO ALIAS PRAKASH KANUBHAI BRAHMBHATT,JD,Gujarat,1989
BROACH,DESHMUKH CHANDUBHAI SHAMBHAI,BJP,Gujarat,1989
SURAT,KASHIRAM RANA,BJP,Gujarat,1989
MANDVI (ST),GHAMIT CHHITUBHAI DEVIBHAI,INC,Gujarat,1989
BULSAR (ST),AJUNBHAI LALLUBHAI PATEL,JD,Gujarat,1989
AMBALA (SC),RAM PARKASH,INC,Haryana,1989
KURUKSHETRA,GURDIAL SINGH SAINI,JD,Haryana,1989
KARNAL,CHIRANJIT LAL,INC,Haryana,1989
SONEPAT,KAPIL DEV,JD,Haryana,1989
ROHTAK,DEVI LAL,JD,Haryana,1989
FARIDABAD,BHAJAN LAL,INC,Haryana,1989
MAHENDRAGARH,BIRENDER SINGH,JD,Haryana,1989
BHIWANI,BANSI LAL,INC,Haryana,1989
HISSAR,JAI PARKASH,JD,Haryana,1989
SIRSA (SC),HET RAM,JD,Haryana,1989
SIMLA (SC),KRISHAN DUTT SULTAN PURI,INC,Himachal Pradesh,1989
MANDI,MAHESHWAR SINGH,BJP,Himachal Pradesh,1989
KANGRA,SHANTA KUMAR,BJP,Himachal Pradesh,1989
HAMIRPUR,THAKUR PREM KUMAR DHUMAL,BJP,Himachal Pradesh,1989
BARAMULLA,SAIF UD DIN SOZE,JKN,Jammu Kashmir,1989
SRINAGAR,MOHAMMAD SHAFI BHAT,JKN,Jammu Kashmir,1989
ANANTNAG,P.L.HANDOO,JKN,Jammu Kashmir,1989
LADAKH,MOHD. HASSAN,IND,Jammu Kashmir,1989
UDHAMPUR,DHARAM PAUL,INC,Jammu Kashmir,1989
JAMMU,JANAK RAI GUPTA,INC,Jammu Kashmir,1989
BIDAR (SC),NARSINGRAO SURYA VANSHI,INC,Karnataka,1989
GULBARGA,B.G.JAWALI,INC,Karnataka,1989
RAICHUR,R.AMBANNA NAIK DORE,INC,Karnataka,1989
KOPPAL,BASAVARAJ PATIL,JD,Karnataka,1989
BELLARY,BASAVARAJESWERI,INC,Karnataka,1989
DAVANGERE,CHANNAIAH ODEYAR,INC,Karnataka,1989
CHITRADURGA,C.P.MUDALAGIRIYAPPA,INC,Karnataka,1989
TUMKUR,G.S.BASAVARAJ,INC,Karnataka,1989
CHIKBALLAPUR,V.KRISHNA RAO,INC,Karnataka,1989
KOLAR (SC),Y.RAMAKRISHNA,INC,Karnataka,1989
KANAKAPURA,M.V.CHANDRASHEKHARA MURTHY,INC,Karnataka,1989
BANGALORE NORTH,C.K.JAFFER SHARIEFF,INC,Karnataka,1989
BANGALORE SOUTH,R.GUNDU RAO,INC,Karnataka,1989
MANDYA,G.MADE GOWDA,INC,Karnataka,1989
CHAMARAJANAGAR (SC),V.SRINIVASA PRASAD,INC,Karnataka,1989
MYSORE,SRIKANTADATTA NARASIMBHARAJ WADEYAR,INC,Karnataka,1989
MANGALORE,JANARDHANA POOJARY,INC,Karnataka,1989
UDUPI,OSCAR PERNANDES,INC,Karnataka,1989
HASSAN,H.C.SRIKANTAIAH,INC,Karnataka,1989
CHIKMAGALUR,D.M.PUTTE GOWDA,INC,Karnataka,1989
SHIMOGA,T.V.CHANDRASHEKARAPPA,INC,Karnataka,1989
KANARA,DEVARAY NAIK G,INC,Karnataka,1989
DHARWAD SOUTH,MUJAHID B.M.,INC,Karnataka,1989
DHARWAD NORTH,D.K.NAIKAR,INC,Karnataka,1989
BELGAUM,SIDNAL SHANMUKAPPA BASSAPPA,INC,Karnataka,1989
CHIKKODI (SC),B.SHANKARANAND,INC,Karnataka,1989
BAGALKOT,PATIL SUBHASH TAMMANNAPPA,INC,Karnataka,1989
BIJAPUR,GUDADINNI BASAGONDAPPA KADAPPA,INC,Karnataka,1989
KASARAGOD,M. RAMMANA RAI,CPM,Kerala,1989
CANNANORE,MULLAPPALLY RAMACHANDRAN,INC,Kerala,1989
BADAGARA,K. P. UNNIKRISHNAN,ICS(SCS),Kerala,1989
CALICUT,K. MURALEEDHARAN,INC,Kerala,1989
MANJERI,EBRAHIM SULAIMAN SAIT,MUL,Kerala,1989
PONNANI,G. M. BANAT WALIA,MUL,Kerala,1989
PALGHAT,A. VIJAYARAGHAVAN,CPM,Kerala,1989
OTTAPALAM (SC),K. R. NARAYANAN,INC,Kerala,1989
TRICHUR,P. A. ANTONY,INC,Kerala,1989
MUKUNDAPURAM,SAVITHRI LAKSHMANAN,INC,Kerala,1989
ERNAKULAM,K. V. THOMAS,INC,Kerala,1989
MUVATTUPUZHA,P. C. THOMAS,KCM,Kerala,1989
KOTTAYAM,RAMESH CHENNITHALA,INC,Kerala,1989
IDUKKI,PALAI K. M. MATHEW,INC,Kerala,1989
ALLEPPEY,VAKKOM PURUSHOTHAM,INC,Kerala,1989
MAVELIKARA,P. J. KURIEN,INC,Kerala,1989
ADOOR (SC),KODIKUNNIL SURESH,INC,Kerala,1989
QUILON,S. KRISHNAKUMAR,INC,Kerala,1989
CHIRAYINKIL,THALEKUNNIL BASHEER,INC,Kerala,1989
TRIVANDRUM,A. CHARLES,INC,Kerala,1989
MORENA (SC),CHHAVIRAM,BJP,Madhya Pradesh,1989
BHIND,NARSINGH RAO DIXIT,BJP,Madhya Pradesh,1989
GWALIOR,MADHAVA RAO SCINDIYA JEEWAJI RAO,INC,Madhya Pradesh,1989
GUNA,VIJAYA RAJE SCINDIA,BJP,Madhya Pradesh,1989
SAGAR (SC),SHANKAR LAL,BJP,Madhya Pradesh,1989
KHAJURAHO,UMABHARTI,BJP,Madhya Pradesh,1989
DAMOH,LOKENDRA SNGH,BJP,Madhya Pradesh,1989
SATNA,SIKHENDRA SINGH,BJP,Madhya Pradesh,1989
REWA,YAMUNA PRASAD SHASTRI,JD,Madhya Pradesh,1989
SIDHI (ST),JAGANNATH SINGH,BJP,Madhya Pradesh,1989
SHAHDOL (ST),DANPAT SINGH PARASTE,JD,Madhya Pradesh,1989
SURGUJA (ST),LARANGSAI,BJP,Madhya Pradesh,1989
RAIGARH (ST),NAND KUMAR SAI,BJP,Madhya Pradesh,1989
JANJGIR,DALIP SINGH JUDEO,BJP,Madhya Pradesh,1989
BILASPUR (SC),RESHAM LAL JANGADE,BJP,Madhya Pradesh,1989
SARANGARH (SC),PARASRAM BHARDWAJ,INC,Madhya Pradesh,1989
RAIPUR,RAMESH BAIS,BJP,Madhya Pradesh,1989
MAHASAMUND,VIDYACHARAN SHUKLA,JD,Madhya Pradesh,1989
KANKER (ST),ARVIND NETAM,INC,Madhya Pradesh,1989
BASTAR (ST),MANKURAM SODI,INC,Madhya Pradesh,1989
DURG,PURUSHOTTAM KAUSHIK,JD,Madhya Pradesh,1989
RAJNANDGAON,DHARAM PAL GUPTA,BJP,Madhya Pradesh,1989
BALAGHAT,KANKAR MUNJARE,IND,Madhya Pradesh,1989
MANDLA (ST),MOHAN LAL,INC,Madhya Pradesh,1989
JABALPUR,BABURAO PRANJPE,BJP,Madhya Pradesh,1989
SEONI,PRAHLAD SINGH,BJP,Madhya Pradesh,1989
CHHINDWARA,KAMAL NATH,INC,Madhya Pradesh,1989
BETUL,ARIF BEG,BJP,Madhya Pradesh,1989
HOSHANGABAD,SARTAJ SINGH,BJP,Madhya Pradesh,1989
BHOPAL,SUSHIL CHANDRA VERMA,BJP,Madhya Pradesh,1989
VIDISHA,RAGHAV JI,BJP,Madhya Pradesh,1989
RAJGARH,PYARELA KHANDELWAR,BJP,Madhya Pradesh,1989
SHAJAPUR (SC),PHOOL CHAND VERMA,BJP,Madhya Pradesh,1989
KHANDWA,AMRITLAL (MANNIBHAI),BJP,Madhya Pradesh,1989
KHARGONE,RAMESHWAR PATHIDAR,BJP,Madhya Pradesh,1989
DHAR (ST),SURAJ BHANU SHIV BHANU SOLANKI,INC,Madhya Pradesh,1989
INDORE,SUMITRA MAHAJAN,BJP,Madhya Pradesh,1989
UJJAIN (SC),SATYANARAYAN JATIYA,BJP,Madhya Pradesh,1989
JHABUA (ST),DILEEPSINGH BHURIA,INC,Madhya Pradesh,1989
MANDSAUR,LAXMINARAYAN PANDEY,BJP,Madhya Pradesh,1989
RAJAPUR,MADHU DANDAVATE,JD,Maharastra,1989
RATNAGIRI,NIKAM GOVIND SAWAJI,INC,Maharastra,1989
KOLABA,ANTULAY A. R.,INC,Maharastra,1989
BOMBAY SOUTH,DEORA MURLI,INC,Maharastra,1989
BOMBAY SOUTH CENTRAL,VAMANRAO MAHADIK,IND,Maharastra,1989
BOMBAY NORTH CENTRAL,VIDYADHAR SAMBHAJI GOKHALE,SHS,Maharastra,1989
BOMBAY NORTH EAST,MEHTA JAYAWANTI NAVINCHANDRA,BJP,Maharastra,1989
BOMBAY NORTH WEST,SUNIL DUTT,INC,Maharastra,1989
BOMBAY NORTH,RAM NAIK,BJP,Maharastra,1989
THANE,KAPSE RAMCHANDRA GANESH,BJP,Maharastra,1989
DAHANU (ST),DAMODAR BARAKU SHINGADA,INC,Maharastra,1989
NASHIK,AHER DAULA SONUJI,BJP,Maharastra,1989
MALEGAON (ST),MAHALE HARIBHAU,JD,Maharastra,1989
DHULE (ST),BHOY RESHMA MOTIRAM,INC,Maharastra,1989
NANDURBAR (ST),GAVIT MANKRAO HODLYA,INC,Maharastra,1989
ERANDOL,PATIL UTTAMRAO LAXMANRAO,BJP,Maharastra,1989
JALGAON,MAHAJAN YADAV SHIVRAM,INC,Maharastra,1989
BULDHANA (SC),KALE SUKHDEO NANDAJI,BJP,Maharastra,1989
AKOLA,PHUNDKAR PANDURANG PUNDLIK,BJP,Maharastra,1989
WASHIM,DESHMUKH ANANTRAO VITTHALRAO,INC,Maharastra,1989
AMRAVATI,SUDAM DESHMUKH,CPI,Maharastra,1989
RAMTEK,P.V. NARSIMHARAO,INC,Maharastra,1989
NAGPUR,PURHIT BANWARILAL BHAGWANDAS,INC,Maharastra,1989
BHANDARA,KHUSHAL PARASRAM SOPCHE,BJP,Maharastra,1989
CHIMUR,SHIWNKAR MANOHARRAO SUKAJI,BJP,Maharastra,1989
CHANDRAPUR,POTDUKHE SHANTARAM RAJESHWAR,INC,Maharastra,1989
WARDHA,SATHE VASANT PURUSHOTTAM,INC,Maharastra,1989
YAVATMAL,UTTAMRAO DEORAO PATIL,INC,Maharastra,1989
HINGOLI,UTTAM RATHOD,INC,Maharastra,1989
NANDED,KABDE VENKATESH RUKHMAJI,JD,Maharastra,1989
PARBHANI,DESHMUKH ASHOK ANANDRAO,IND,Maharastra,1989
JALNA,PUNDLIK HARI DANWE,BJP,Maharastra,1989
AURANGABAD,MOROSHWAR SAVE,IND,Maharastra,1989
BEED,DHAKNO BABANRAO DADABA,JD,Maharastra,1989
LATUR,PATIL SHIVRAJ VISHWANATH,INC,Maharastra,1989
OSMANABAD (SC),KAMBLE ARVIND TULSHIRAM,INC,Maharastra,1989
SHOLAPUR,SADUL DHARMANNA MONDAYYA,INC,Maharastra,1989
PANDHARPUR (SC),THORAT SANDIPAN BHAGWAN,INC,Maharastra,1989
AHMEDNAGAR,GADAKH .Y.K.,INC,Maharastra,1989
KOPARGAON,VIKHE E.V.,INC,Maharastra,1989
KHED,BANKHELE KISANRAO BABURAO,JD,Maharastra,1989
PUNE,GADGIL VITTHALARO NARHAR,INC,Maharastra,1989
BARAMATI,PATIL SHANKARRAO BAJIRAO,INC,Maharastra,1989
SATARA,BHOSALE PRATAPRAO BABURAO,INC,Maharastra,1989
KARAD,CHAVAN PREMALABAI DAJISAHEB,INC,Maharastra,1989
SANGLI,PATIL PRAKASHBAPU VASANTRAO,INC,Maharastra,1989
ICHALKARANJI,MANE BALASAHEB ALAIS RAJARAM SHANKARRAO,INC,Maharastra,1989
KOLHAPUR,GAIKWAD UDAYSINGRAO NANASAHEB,INC,Maharastra,1989
INNER MANIPUR,N.TOMBI SINGH,INC,Manipur,1989
